track_id,condition_id,method,generation,world_id,opportunity_count,query_cost,scope_leakage,uar,frr,residual_escalation_rate
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w000,50,49,0,0.0,0.0,0.42
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w001,50,48,0,0.0,0.0,0.2
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w002,50,46,0,0.0,0.0,0.18
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w003,50,48,0,0.0,0.0,0.28
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w004,50,48,0,0.0,0.0,0.32
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w005,50,49,0,0.0,0.0,0.2
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w006,50,49,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w007,50,50,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w008,50,46,0,0.0,0.0,0.3
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w009,50,47,0,0.0,0.0,0.14
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w010,50,50,0,0.0,0.0,0.1
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w011,50,48,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w012,50,46,0,0.0,0.0,0.36
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w013,50,48,0,0.0,0.0,0.14
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w014,50,45,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w015,50,45,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w016,50,46,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w017,50,47,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w018,50,48,0,0.0,0.0,0.24
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w019,50,45,0,0.0,0.0,0.1
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w020,50,45,0,0.0,0.0,0.26
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w021,50,45,0,0.0,0.0,0.14
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w022,50,48,0,0.0,0.0,0.2
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w023,50,46,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w024,50,47,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w025,50,49,0,0.0,0.0,0.18
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w026,50,49,0,0.0,0.0,0.22
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w027,50,48,0,0.0,0.0,0.26
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w028,50,47,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w029,50,48,0,0.0,0.0,0.18
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w030,50,47,0,0.0,0.0,0.28
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w031,50,47,0,0.0,0.0,0.26
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w032,50,48,0,0.0,0.0,0.28
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w033,50,49,0,0.0,0.0,0.16
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w034,50,46,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w035,50,50,0,0.0,0.0,0.32
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w036,50,49,0,0.0,0.0,0.12
blind_bank,v04_cumulative,perception_closure_v04,1,p9b-g1-w037,50,50,0,0.0,0.0,0.16
