ablation_id,condition,generation_improvement_slope,library_efficiency,retention_score,forgetting,update_stability,diagnostic_reuse_rate,novel_diagnostic_yield
A0,cumulative,-0.026624494148464906,0.007149131925125418,1.0063776495442804,0.01596621812814114,0.9963069249580525,0.5537385413864643,0.04567193605828396
A0,fresh,-0.031930490499143926,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A1,cumulative,0.006277370480666511,0.02607384764346699,1.0629243372541515,0.0,1.0,0.5537385413864643,
A1,fresh,-0.013074313317219144,0.0,1.0,0.0,1.0,,
A10,cumulative,-0.02516411956265696,0.008400099465127204,1.0074586242259411,0.014043877917889191,0.9963069249580525,0.5537385413864643,0.3396184880400599
A10,fresh,-0.03139856838443106,0.0,1.0,0.0,0.9963069249580525,,0.3396184880400599
A11,cumulative,-0.026141582295662213,0.007149131925125343,1.006387514340733,0.01596621812814103,0.9963069249580525,0.5537385413864643,0.042334178306006
A11,fresh,-0.03144757864634118,0.0,1.0,0.0,0.9963069249580525,,0.042334178306006
A12,cumulative,-0.026624494148464906,0.007149131925125418,1.0063776495442804,0.01596621812814114,0.9963069249580525,0.5537385413864643,0.04567193605828396
A12,fresh,-0.031930490499143926,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A13,cumulative,-0.026624494148464906,0.007149131925125418,1.0063776495442804,0.01596621812814114,0.985785358461769,0.5537385413864643,0.04567193605828396
A13,fresh,-0.031930490499143926,0.0,1.0,0.0,0.985785358461769,,0.04567193605828396
A14,cumulative,-0.015015332845500662,0.022399612081853235,1.039540494290016,0.0,0.9963069249580525,0.5537385413864643,0.04567193605828396
A14,fresh,-0.03164004493750111,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A15,cumulative,-0.026624494148464906,0.007149131925125418,1.0063776495442804,0.01596621812814114,0.9963069249580525,0.5537385413864643,0.04567193605828396
A15,fresh,-0.031930490499143926,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A16,cumulative,0.021638491909866442,0.009184761851504974,1.0228537076841908,0.0,0.9963069249580525,0.5537385413864643,0.04567193605828396
A16,fresh,0.014821676473202594,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A17,cumulative,-0.09202337844581124,0.007149131925125324,1.0110245173001708,0.01596621812814103,0.9963069249580525,0.5537385413864643,0.04567193605828396
A17,fresh,-0.09732937479649019,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A18,cumulative,-0.11146808717385691,0.007149131925125343,1.0124222140746995,0.01596621812814103,0.9963069249580525,0.5537385413864643,0.04567193605828396
A18,fresh,-0.11677408352453587,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A19,cumulative,-0.023638919449800067,0.012458566634526547,1.0165016726608676,0.0037126769038503538,0.9963069249580525,0.5537385413864643,0.04567193605828396
A19,fresh,-0.03288551187386274,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A2,cumulative,-0.012146032452656885,0.01866841184303107,1.0300961098949373,0.0,1.0,0.5537385413864643,
A2,fresh,-0.026001494367406508,0.0,1.0,0.0,1.0,,
A20,cumulative,-0.14220202396668224,0.018592969396153448,1.055047932592015,0.0,0.9963069249580525,0.5537385413864643,0.04567193605828396
A20,fresh,-0.15600149344038988,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A21,cumulative,-0.023638919449800067,0.012458566634526547,1.0165016726608676,0.0037126769038503538,0.9963069249580525,0.5537385413864643,0.04567193605828396
A21,fresh,-0.03288551187386274,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A22,cumulative,-0.005796127870805634,0.019945139029457132,1.0341118455861695,0.0,0.9963069249580525,0.5537385413864643,0.04567193605828396
A22,fresh,-0.02059916074423085,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A23,cumulative,-0.025354055977291456,0.008076562200914109,1.007268861309653,0.016020450403189335,0.9963069249580525,0.5537385413864643,0.04567193605828396
A23,fresh,-0.031348379485782396,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A24,cumulative,-0.01968163091314523,0.011011226153912453,1.016809391444718,0.005195115101157,0.9963069249580525,0.5537385413864643,0.04567193605828396
A24,fresh,-0.02785402532425213,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
A25,cumulative,-0.019831898693323302,0.011196808499130458,1.0141810650272103,0.00483782034744451,0.9963069249580525,0.5537385413864643,0.04567193605828396
A25,fresh,-0.02814203000127169,0.0,1.0,0.0,0.9963069249580525,,0.04567193605828396
